Order_id,Total_price,Unique_pizza_count,Total_quantity,Order_date,Unit_price,Max_pizza_size,Min_pizza_size,Unique_pizza_category_count
1,13.25,1,1,1/1/2015,13.25,M,M,1
2,92,5,5,1/1/2015,18.4,L,M,4
3,37.25,2,2,1/1/2015,18.625,L,M,1
4,16.5,1,1,1/1/2015,16.5,M,M,1
5,16.5,1,1,1/1/2015,16.5,M,M,1
6,24.75,2,2,1/1/2015,12.375,S,S,2
7,12.5,1,1,1/1/2015,12.5,S,S,1
8,12.5,1,1,1/1/2015,12.5,S,S,1
9,143.25,9,9,1/1/2015,15.916666666666666,L,S,3
10,41,2,2,1/1/2015,20.5,L,L,2
11,73.5,4,4,1/1/2015,18.375,L,M,2
12,70.75,4,4,1/1/2015,17.6875,L,S,2
13,20.25,1,1,1/1/2015,20.25,L,L,1
14,12,1,1,1/1/2015,12,S,S,1
15,63.25,4,4,1/1/2015,15.8125,L,S,3
16,50.7,3,3,1/1/2015,16.900000000000002,L,S,3
17,184.5,10,11,1/1/2015,16.85,L,S,3
18,20.5,1,1,1/1/2015,20.5,L,L,1
19,40.75,2,2,1/1/2015,20.375,L,L,2
20,30.5,2,2,1/1/2015,15.25,L,S,2
21,20.5,1,1,1/1/2015,20.5,L,L,1
22,55.25,3,3,1/1/2015,18.416666666666668,L,M,3
23,12.75,1,1,1/1/2015,12.75,S,S,1
24,57.75,4,4,1/1/2015,14.4375,M,S,3
25,37,2,2,1/1/2015,18.5,L,M,2
26,32.25,2,2,1/1/2015,16.125,L,S,2
27,57,3,3,1/1/2015,19,L,M,3
28,12.75,1,1,1/1/2015,12.75,S,S,1
29,12,1,1,1/1/2015,12,S,S,1
30,20.75,1,1,1/1/2015,20.75,L,L,1
31,25.75,2,2,1/1/2015,12.875,M,S,2
32,69.25,4,4,1/1/2015,17.3125,L,S,3
33,32.75,2,2,1/1/2015,16.375,L,S,2
34,12,1,1,1/1/2015,12,S,S,1
35,66.75,4,4,1/1/2015,16.6875,L,M,3
36,32.75,2,2,1/1/2015,16.375,M,M,2
37,41,2,2,1/1/2015,20.5,L,L,2
38,31,2,2,1/1/2015,15.5,L,S,1
39,20.75,1,1,1/1/2015,20.75,L,L,1
40,30.7,2,2,1/1/2015,15.35,L,S,2
41,26.75,2,2,1/1/2015,13.375,M,S,1
42,67.25,4,4,1/1/2015,16.8125,L,S,3
43,54,3,3,1/1/2015,18,L,M,2
44,12.5,1,1,1/1/2015,12.5,S,S,1
45,45.2,3,3,1/1/2015,15.066666666666668,L,S,3
46,58,3,3,1/1/2015,19.333333333333332,L,M,2
47,32.75,2,2,1/1/2015,16.375,L,S,2
48,70.25,4,4,1/1/2015,17.5625,L,S,3
49,20.25,1,1,1/1/2015,20.25,L,L,1
50,25.5,1,1,1/1/2015,25.5,XL,XL,1
51,38.25,2,2,1/1/2015,19.125,L,L,2
52,57.5,3,3,1/1/2015,19.166666666666668,L,L,3
53,27.5,2,2,1/1/2015,13.75,M,S,2
54,37.25,2,2,1/1/2015,18.625,L,M,2
55,33.25,2,2,1/1/2015,16.625,L,S,1
